Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
TC_Amb, G09,Assay,Unknown,Un_0071 1/1,620,0.108,18.47
TC_Amb, H09,Assay,Unknown,Un_0072 1/1,620,0.116,19.05
TC_Amb, A10,Assay,Unknown,Un_0073 1/1,620,0.158,14.18
TC_Amb, B10,Assay,Unknown,Un_0074 1/1,620,0.16,14.72
TC_Amb, C10,Assay,Unknown,Un_0075 1/1,620,0.145,15.62
TC_Amb, D10,Assay,Unknown,Un_0076 1/1,620,0.155,16.16
TC_Amb, E10,Assay,Unknown,Un_0077 1/1,620,0.198,17.06
TC_Amb, F10,Assay,Unknown,Un_0078 1/1,620,0.214,17.59
TC_Amb, G10,Assay,Unknown,Un_0079 1/1,620,0.195,18.49
TC_Amb, H10,Assay,Unknown,Un_0080 1/1,620,0.19,19.03
TC_Amb, A11,Assay,Unknown,Un_0081 1/1,620,0.121,14.2
TC_Amb, B11,Assay,Unknown,Un_0082 1/1,620,0.149,14.7
TC_Amb, C11,Assay,Unknown,Un_0083 1/1,620,0.157,15.64
TC_Amb, D11,Assay,Unknown,Un_0084 1/1,620,0.1,16.14
TC_Amb, E11,Assay,Unknown,Un_0085 1/1,620,0.099,17.07
TC_Amb, F11,Assay,Unknown,Un_0086 1/1,620,0.09,17.57
TC_Amb, G11,Assay,Unknown,Un_0087 1/1,620,0.1,18.51
TC_Amb, H11,Assay,Unknown,Un_0088 1/1,620,0.085,19.01
TC_Amb, A12,Assay,Unknown,Un_0089 1/1,620,0.147,14.22
TC_Amb, B12,Assay,Unknown,Un_0090 1/1,620,0.129,14.68
TC_Amb, C12,Assay,Unknown,Un_0091 1/1,620,0.154,15.66
TC_Amb, D12,Assay,Unknown,Un_0092 1/1,620,0.105,16.12
TC_Amb, E12,Assay,Unknown,Un_0093 1/1,620,0.036,17.09
TC_Amb, F12,Assay,Unknown,Un_0094 1/1,620,0.037,17.56
TC_Amb, G12,Assay,Unknown,Un_0095 1/1,620,0.035,18.53
TC_Amb, H12,Assay,Unknown,Un_0096 1/1,620,0.036,18.99
12, A01,Assay,Unknown,Un_0097 1/1,620,0.135,85.23
12, B01,Assay,Unknown,Un_0098 1/1,620,0.129,86.11
12, C01,Assay,Unknown,Un_0099 1/1,620,0.085,86.67
12, D01,Assay,Unknown,Un_0100 1/1,620,0.132,87.55
12, E01,Assay,Unknown,Un_0101 1/1,620,0.134,88.1
12, F01,Assay,Unknown,Un_0102 1/1,620,0.11,88.98
12, G01,Assay,Unknown,Un_0103 1/1,620,0.111,89.54
12, H01,Assay,Unknown,Un_0104 1/1,620,0.088,90.42
12, A02,Assay,Unknown,Un_0105 1/1,620,0.058,85.25
12, B02,Assay,Unknown,Un_0106 1/1,620,0.063,86.09
12, C02,Assay,Unknown,Un_0107 1/1,620,0.036,86.68
12, D02,Assay,Unknown,Un_0108 1/1,620,0.065,87.53
