Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
TC_Amb, A01,Assay,Unknown,Un_0001 1/1,620,0.166,14.79
TC_Amb, B01,Assay,Unknown,Un_0002 1/1,620,0.078,15.67
TC_Amb, C01,Assay,Unknown,Un_0003 1/1,620,0.099,16.23
TC_Amb, D01,Assay,Unknown,Un_0004 1/1,620,0.081,17.11
TC_Amb, E01,Assay,Unknown,Un_0005 1/1,620,0.137,17.66
TC_Amb, F01,Assay,Unknown,Un_0006 1/1,620,0.079,18.55
TC_Amb, G01,Assay,Unknown,Un_0007 1/1,620,0.071,19.1
TC_Amb, H01,Assay,Unknown,Un_0008 1/1,620,0.071,19.98
TC_Amb, A02,Assay,Unknown,Un_0009 1/1,620,0.149,14.81
TC_Amb, B02,Assay,Unknown,Un_0010 1/1,620,0.082,15.65
TC_Amb, C02,Assay,Unknown,Un_0011 1/1,620,0.062,16.24
TC_Amb, D02,Assay,Unknown,Un_0012 1/1,620,0.097,17.09
TC_Amb, E02,Assay,Unknown,Un_0013 1/1,620,0.087,17.68
TC_Amb, F02,Assay,Unknown,Un_0014 1/1,620,0.074,18.53
TC_Amb, G02,Assay,Unknown,Un_0015 1/1,620,0.034,19.12
TC_Amb, H02,Assay,Unknown,Un_0016 1/1,620,0.078,19.96
TC_Amb, A03,Assay,Unknown,Un_0017 1/1,620,0.108,14.83
TC_Amb, B03,Assay,Unknown,Un_0018 1/1,620,0.099,15.63
TC_Amb, C03,Assay,Unknown,Un_0019 1/1,620,0.079,16.26
TC_Amb, D03,Assay,Unknown,Un_0020 1/1,620,0.082,17.07
TC_Amb, E03,Assay,Unknown,Un_0021 1/1,620,0.055,17.7
TC_Amb, F03,Assay,Unknown,Un_0022 1/1,620,0.079,18.51
TC_Amb, G03,Assay,Unknown,Un_0023 1/1,620,0.046,19.14
TC_Amb, H03,Assay,Unknown,Un_0024 1/1,620,0.117,19.94
TC_Amb, A04,Assay,Unknown,Un_0025 1/1,620,0.111,14.85
TC_Amb, B04,Assay,Unknown,Un_0026 1/1,620,0.067,15.61
TC_Amb, C04,Assay,Unknown,Un_0027 1/1,620,0.07,16.28
TC_Amb, D04,Assay,Unknown,Un_0028 1/1,620,0.086,17.05
TC_Amb, E04,Assay,Unknown,Un_0029 1/1,620,0.072,17.72
