Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
TC_Amb, A01,Assay,Unknown,Un_0001 1/1,620,0.109,14.05
TC_Amb, B01,Assay,Unknown,Un_0002 1/1,620,0.073,14.93
TC_Amb, C01,Assay,Unknown,Un_0003 1/1,620,0.131,15.49
TC_Amb, D01,Assay,Unknown,Un_0004 1/1,620,0.147,16.37
TC_Amb, E01,Assay,Unknown,Un_0005 1/1,620,0.174,16.92
TC_Amb, F01,Assay,Unknown,Un_0006 1/1,620,0.151,17.81
TC_Amb, G01,Assay,Unknown,Un_0007 1/1,620,0.058,18.36
TC_Amb, H01,Assay,Unknown,Un_0008 1/1,620,0.117,19.24
TC_Amb, A02,Assay,Unknown,Un_0009 1/1,620,0.104,14.07
TC_Amb, B02,Assay,Unknown,Un_0010 1/1,620,0.071,14.91
TC_Amb, C02,Assay,Unknown,Un_0011 1/1,620,0.076,15.5
TC_Amb, D02,Assay,Unknown,Un_0012 1/1,620,0.186,16.35
TC_Amb, E02,Assay,Unknown,Un_0013 1/1,620,0.147,16.94
TC_Amb, F02,Assay,Unknown,Un_0014 1/1,620,0.107,17.79
TC_Amb, G02,Assay,Unknown,Un_0015 1/1,620,0.034,18.38
TC_Amb, H02,Assay,Unknown,Un_0016 1/1,620,0.105,19.22
TC_Amb, A03,Assay,Unknown,Un_0017 1/1,620,0.12,14.09
TC_Amb, B03,Assay,Unknown,Un_0018 1/1,620,0.077,14.89
TC_Amb, C03,Assay,Unknown,Un_0019 1/1,620,0.089,15.52
TC_Amb, D03,Assay,Unknown,Un_0020 1/1,620,0.179,16.33
TC_Amb, E03,Assay,Unknown,Un_0021 1/1,620,0.048,16.96
TC_Amb, F03,Assay,Unknown,Un_0022 1/1,620,0.152,17.77
TC_Amb, G03,Assay,Unknown,Un_0023 1/1,620,0.048,18.4
TC_Amb, H03,Assay,Unknown,Un_0024 1/1,620,0.044,19.2
TC_Amb, A04,Assay,Unknown,Un_0025 1/1,620,0.128,14.11
TC_Amb, B04,Assay,Unknown,Un_0026 1/1,620,0.071,14.87
TC_Amb, C04,Assay,Unknown,Un_0027 1/1,620,0.108,15.54
TC_Amb, D04,Assay,Unknown,Un_0028 1/1,620,0.21,16.31
TC_Amb, E04,Assay,Unknown,Un_0029 1/1,620,0.123,16.98
TC_Amb, F04,Assay,Unknown,Un_0030 1/1,620,0.105,17.75
TC_Amb, G04,Assay,Unknown,Un_0031 1/1,620,0.09,18.42
TC_Amb, H04,Assay,Unknown,Un_0032 1/1,620,0.09,19.18
TC_Amb, A05,Assay,Unknown,Un_0033 1/1,620,0.098,14.12
TC_Amb, B05,Assay,Unknown,Un_0034 1/1,620,0.077,14.85
TC_Amb, C05,Assay,Unknown,Un_0035 1/1,620,0.072,15.56
TC_Amb, D05,Assay,Unknown,Un_0036 1/1,620,0.274,16.29
TC_Amb, E05,Assay,Unknown,Un_0037 1/1,620,0.193,17
TC_Amb, F05,Assay,Unknown,Un_0038 1/1,620,0.119,17.73
TC_Amb, G05,Assay,Unknown,Un_0039 1/1,620,0.164,18.44
TC_Amb, H05,Assay,Unknown,Un_0040 1/1,620,0.192,19.17
TC_Amb, A06,Assay,Unknown,Un_0041 1/1,620,0.157,14.14
TC_Amb, B06,Assay,Unknown,Un_0042 1/1,620,0.126,14.84
TC_Amb, C06,Assay,Unknown,Un_0043 1/1,620,0.121,15.58
TC_Amb, D06,Assay,Unknown,Un_0044 1/1,620,0.143,16.27
TC_Amb, E06,Assay,Unknown,Un_0045 1/1,620,0.124,17.02
TC_Amb, F06,Assay,Unknown,Un_0046 1/1,620,0.09,17.71
TC_Amb, G06,Assay,Unknown,Un_0047 1/1,620,0.092,18.46
TC_Amb, H06,Assay,Unknown,Un_0048 1/1,620,0.092,19.15
TC_Amb, A07,Assay,Unknown,Un_0049 1/1,620,0.15,14.16
TC_Amb, B07,Assay,Unknown,Un_0050 1/1,620,0.139,14.82
TC_Amb, C07,Assay,Unknown,Un_0051 1/1,620,0.084,15.6
TC_Amb, D07,Assay,Unknown,Un_0052 1/1,620,0.171,16.25
TC_Amb, E07,Assay,Unknown,Un_0053 1/1,620,0.035,17.04
TC_Amb, F07,Assay,Unknown,Un_0054 1/1,620,0.035,17.69
TC_Amb, G07,Assay,Unknown,Un_0055 1/1,620,0.035,18.47
