Plate,Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
12,D06,Group 1,Unknown,Un0428,620,0.087,1400.07
12,D05,Group 1,Unknown,Un0420,620,0.1334,1400.09
12,D04,Group 1,Unknown,Un0412,620,0.0725,1400.11
12,D03,Group 1,Unknown,Un0404,620,0.036,1400.13
12,D02,Group 1,Unknown,Un0396,620,0.0437,1400.15
12,D01,Group 1,Unknown,Un0388,620,0.1217,1400.17
12,E01,Group 1,Unknown,Un0389,620,0.1198,1400.72
12,E02,Group 1,Unknown,Un0397,620,0.129,1400.74
12,E03,Group 1,Unknown,Un0405,620,0.0354,1400.76
12,E04,Group 1,Unknown,Un0413,620,0.0798,1400.78
12,E05,Group 1,Unknown,Un0421,620,0.1546,1400.8
12,E06,Group 1,Unknown,Un0429,620,0.131,1400.82
12,E07,Group 1,Unknown,Un0437,620,0.0354,1400.83
12,E08,Group 1,Unknown,Un0445,620,0.2688,1400.85
12,E09,Group 1,Unknown,Un0453,620,0.0993,1400.87
12,E10,Group 1,Unknown,Un0461,620,0.2125,1400.89
12,E11,Group 1,Unknown,Un0469,620,0.0379,1400.91
12,E12,Group 1,Unknown,Un0477,620,0.0345,1400.93
12,F12,Group 1,Unknown,Un0478,620,0.0369,1401.39
12,F11,Group 1,Unknown,Un0470,620,0.0381,1401.41
12,F10,Group 1,Unknown,Un0462,620,0.178,1401.43
12,F09,Group 1,Unknown,Un0454,620,0.0613,1401.45
12,F08,Group 1,Unknown,Un0446,620,0.2179,1401.47
12,F07,Group 1,Unknown,Un0438,620,0.0357,1401.49
12,F06,Group 1,Unknown,Un0430,620,0.107,1401.51
12,F05,Group 1,Unknown,Un0422,620,0.153,1401.53
12,F04,Group 1,Unknown,Un0414,620,0.0637,1401.55
12,F03,Group 1,Unknown,Un0406,620,0.0371,1401.56
12,F02,Group 1,Unknown,Un0398,620,0.1097,1401.58
12,F01,Group 1,Unknown,Un0390,620,0.1105,1401.6
12,G01,Group 1,Unknown,Un0391,620,0.1378,1402.16
12,G02,Group 1,Unknown,Un0399,620,0.1156,1402.17
12,G03,Group 1,Unknown,Un0407,620,0.0372,1402.19
12,G04,Group 1,Unknown,Un0415,620,0.0869,1402.21
12,G05,Group 1,Unknown,Un0423,620,0.1256,1402.23
12,G06,Group 1,Unknown,Un0431,620,0.1184,1402.25
12,G07,Group 1,Unknown,Un0439,620,0.0348,1402.27
12,G08,Group 1,Unknown,Un0447,620,0.2033,1402.29
12,G09,Group 1,Unknown,Un0455,620,0.103,1402.31
12,G10,Group 1,Unknown,Un0463,620,0.1908,1402.33
12,G11,Group 1,Unknown,Un0471,620,0.0357,1402.35
12,G12,Group 1,Unknown,Un0479,620,0.0414,1402.37
12,H12,Group 1,Unknown,Un0480,620,0.0358,1402.83
12,H11,Group 1,Unknown,Un0472,620,0.0383,1402.85
12,H10,Group 1,Unknown,Un0464,620,0.1901,1402.87
12,H09,Group 1,Unknown,Un0456,620,0.1095,1402.88
12,H08,Group 1,Unknown,Un0448,620,0.2497,1402.9
12,H07,Group 1,Unknown,Un0440,620,0.0344,1402.92
12,H06,Group 1,Unknown,Un0432,620,0.1309,1402.94
12,H05,Group 1,Unknown,Un0424,620,0.1542,1402.96
12,H04,Group 1,Unknown,Un0416,620,0.086,1402.98
12,H03,Group 1,Unknown,Un0408,620,0.0712,1403
12,H02,Group 1,Unknown,Un0400,620,0.1448,1403.02
12,H01,Group 1,Unknown,Un0392,620,0.1371,1403.04
, ,,,,,,
