Plate,Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
TC_Amb,G05,Group 1,Unknown,Un0039,620,0.1413,18.07
TC_Amb,G06,Group 1,Unknown,Un0047,620,0.0985,18.09
TC_Amb,G07,Group 1,Unknown,Un0055,620,0.0349,18.11
TC_Amb,G08,Group 1,Unknown,Un0063,620,0.2176,18.13
TC_Amb,G09,Group 1,Unknown,Un0071,620,0.0904,18.15
TC_Amb,G10,Group 1,Unknown,Un0079,620,0.1764,18.17
TC_Amb,G11,Group 1,Unknown,Un0087,620,0.0748,18.19
TC_Amb,G12,Group 1,Unknown,Un0095,620,0.0362,18.21
TC_Amb,H12,Group 1,Unknown,Un0096,620,0.0377,18.67
TC_Amb,H11,Group 1,Unknown,Un0088,620,0.0749,18.69
TC_Amb,H10,Group 1,Unknown,Un0080,620,0.1765,18.71
TC_Amb,H09,Group 1,Unknown,Un0072,620,0.0994,18.72
TC_Amb,H08,Group 1,Unknown,Un0064,620,0.1941,18.74
TC_Amb,H07,Group 1,Unknown,Un0056,620,0.0347,18.76
TC_Amb,H06,Group 1,Unknown,Un0048,620,0.0941,18.78
TC_Amb,H05,Group 1,Unknown,Un0040,620,0.1507,18.8
TC_Amb,H04,Group 1,Unknown,Un0032,620,0.0879,18.82
TC_Amb,H03,Group 1,Unknown,Un0024,620,0.1235,18.84
TC_Amb,H02,Group 1,Unknown,Un0016,620,0.1123,18.86
TC_Amb,H01,Group 1,Unknown,Un0008,620,0.1444,18.88
30,A01,Group 1,Unknown,Un0097,620,0.1505,356.31
30,A02,Group 1,Unknown,Un0105,620,0.1254,356.33
30,A03,Group 1,Unknown,Un0113,620,0.1586,356.35
30,A04,Group 1,Unknown,Un0121,620,0.151,356.37
30,A05,Group 1,Unknown,Un0129,620,0.1376,356.39
30,A06,Group 1,Unknown,Un0137,620,0.1706,356.4
30,A07,Group 1,Unknown,Un0145,620,0.1301,356.42
30,A08,Group 1,Unknown,Un0153,620,0.1841,356.44
30,A09,Group 1,Unknown,Un0161,620,0.156,356.46
30,A10,Group 1,Unknown,Un0169,620,0.1314,356.48
30,A11,Group 1,Unknown,Un0177,620,0.1481,356.5
30,A12,Group 1,Unknown,Un0185,620,0.1823,356.52
30,B12,Group 1,Unknown,Un0186,620,0.0866,356.98
30,B11,Group 1,Unknown,Un0178,620,0.0657,357
30,B10,Group 1,Unknown,Un0170,620,0.0978,357.02
30,B09,Group 1,Unknown,Un0162,620,0.0706,357.04
30,B08,Group 1,Unknown,Un0154,620,0.0928,357.06
30,B07,Group 1,Unknown,Un0146,620,0.0822,357.08
30,B06,Group 1,Unknown,Un0138,620,0.0908,357.1
30,B05,Group 1,Unknown,Un0130,620,0.1012,357.11
30,B04,Group 1,Unknown,Un0122,620,0.0897,357.13
30,B03,Group 1,Unknown,Un0114,620,0.0817,357.15
30,B02,Group 1,Unknown,Un0106,620,0.0772,357.17
30,B01,Group 1,Unknown,Un0098,620,0.1366,357.19
30,C01,Group 1,Unknown,Un0099,620,0.1969,357.74
30,C02,Group 1,Unknown,Un0107,620,0.0746,357.76
30,C03,Group 1,Unknown,Un0115,620,0.0876,357.78
30,C04,Group 1,Unknown,Un0123,620,0.1234,357.8
30,C05,Group 1,Unknown,Un0131,620,0.1335,357.82
30,C06,Group 1,Unknown,Un0139,620,0.0687,357.84
30,C07,Group 1,Unknown,Un0147,620,0.1398,357.86
30,C08,Group 1,Unknown,Un0155,620,0.1575,357.88
30,C09,Group 1,Unknown,Un0163,620,0.1366,357.9
30,C10,Group 1,Unknown,Un0171,620,0.1049,357.92
30,C11,Group 1,Unknown,Un0179,620,0.0854,357.94
30,C12,Group 1,Unknown,Un0187,620,0.1766,357.95
30,D12,Group 1,Unknown,Un0188,620,0.1676,358.42
30,D11,Group 1,Unknown,Un0180,620,0.1512,358.44
30,D10,Group 1,Unknown,Un0172,620,0.1894,358.45
30,D09,Group 1,Unknown,Un0164,620,0.1685,358.47
30,D08,Group 1,Unknown,Un0156,620,0.2153,358.49
30,D07,Group 1,Unknown,Un0148,620,0.1222,358.51
30,D06,Group 1,Unknown,Un0140,620,0.117,358.53
30,D05,Group 1,Unknown,Un0132,620,0.1397,358.55
30,D04,Group 1,Unknown,Un0124,620,0.115,358.57
30,D03,Group 1,Unknown,Un0116,620,0.1739,358.59
30,D02,Group 1,Unknown,Un0108,620,0.1456,358.61
30,D01,Group 1,Unknown,Un0100,620,0.2509,358.63
30,E01,Group 1,Unknown,Un0101,620,0.1276,359.18
30,E02,Group 1,Unknown,Un0109,620,0.1326,359.2
30,E03,Group 1,Unknown,Un0117,620,0.0882,359.22
30,E04,Group 1,Unknown,Un0125,620,0.1733,359.24
30,E05,Group 1,Unknown,Un0133,620,0.1071,359.26
30,E06,Group 1,Unknown,Un0141,620,0.0772,359.28
30,E07,Group 1,Unknown,Un0149,620,0.0336,359.3
30,E08,Group 1,Unknown,Un0157,620,0.1967,359.31
30,E09,Group 1,Unknown,Un0165,620,0.109,359.33
30,E10,Group 1,Unknown,Un0173,620,0.1388,359.35
30,E11,Group 1,Unknown,Un0181,620,0.492,359.37
30,E12,Group 1,Unknown,Un0189,620,0.04,359.39
30,F12,Group 1,Unknown,Un0190,620,0.0363,359.85
30,F11,Group 1,Unknown,Un0182,620,0.13,359.87
30,F10,Group 1,Unknown,Un0174,620,0.1283,359.89
30,F09,Group 1,Unknown,Un0166,620,0.1535,359.91
30,F08,Group 1,Unknown,Un0158,620,0.2224,359.93
30,F07,Group 1,Unknown,Un0150,620,0.0349,359.95
30,F06,Group 1,Unknown,Un0142,620,0.1007,359.97
30,F05,Group 1,Unknown,Un0134,620,0.1186,359.99
30,F04,Group 1,Unknown,Un0126,620,0.1696,360.01
30,F03,Group 1,Unknown,Un0118,620,0.1391,360.02
