"","r","t.r","lag","maxOD.fit","well","tmp","carbon_source","replicate"
"1",0.0298474623659616,9.00833333333333,7.18236202282357,0.0650451801720326,"A1",12,"glucose",1
"2",0.109893883476725,17.0163888888889,11.7789595725161,0.455232627475152,"A2",12,"glucose",1
"3",0.0952166812299968,12.0113888888889,6.70828153745884,0.43912611335397,"A3",12,"glucose",1
"4",0.0561170742081751,33.0338888888889,24.7873035849886,0.141181818993629,"A4",12,"glucose",1
"5",0.112137183965578,35.7866666666667,29.3116943558526,0.365700175519127,"A5",12,"glucose",1
"6",0.0928546384881783,28.2786111111111,21.6976842345472,0.294366802546266,"A6",12,"glucose",1
"7",0.103256155507099,28.5291666666667,22.6672804636735,0.364303535207035,"A7",12,"glucose",1
"8",0.0722184312289992,48.0486111111111,35.3917859703322,0.190186086032407,"A8",12,"glucose",1
"9",0.127010658875496,41.0416666666667,34.731988988502,0.420871754862764,"A9",12,"glucose",1
"10",0.129628060221734,18.2672222222222,13.179547357342,0.436525319603706,"A10",12,"glucose",1
"11",0.150501445347056,19.0183333333333,14.6177672466946,0.32972744140915,"A11",12,"glucose",1
"12",0.000781790164924402,31.2819444444444,25.2581318617388,0.0396945430381831,"A12",12,"glucose",1
"13",0.0995715700982504,36.7872222222222,30.6313048680778,0.228462656122576,"B1",12,"glucose",1
"14",0.137933540405142,8.2575,5.46946624333553,0.495599370965733,"B2",12,"glucose",1
"15",0.110508566402373,10.51,5.81880472639007,0.47058104920236,"B3",12,"glucose",1
"16",0.105137290936233,9.75916666666667,7.1957358396411,0.578584161557027,"B4",12,"glucose",1
"17",0.0888600536514916,14.2636111111111,8.71873866272887,0.548042981593533,"B5",12,"glucose",1
"18",0.107471560205411,48.0486111111111,37.1728835591732,0.542295610730816,"B6",12,"glucose",1
"19",0.111908620921876,8.75805555555556,5.45382665594374,0.573859416022023,"B7",12,"glucose",1
"20",0.107273460962421,29.53,22.9560191043742,0.48512913111051,"B8",12,"glucose",1
"21",0.0745250454102215,13.2625,6.84848952334355,0.527926971184058,"B9",12,"glucose",1
"22",0.0889394925362425,11.5105555555556,5.55399053299773,0.664544898768726,"B10",12,"glucose",1
"23",0.0914951379827139,13.2625,7.07527582809552,0.66819144151773,"B11",12,"glucose",1
"24",0.000170451054035025,48.0486111111111,33.6562384057747,0.0395357194688766,"B12",12,"glucose",1
"25",0.0143448011863626,9.50888888888889,7.9841693231283,0.0715930749312302,"C1",12,"glucose",1
"26",0.0833130767452288,19.0183333333333,12.4684416799812,0.453731355608481,"C2",12,"glucose",1
"27",0.133287744750881,9.25833333333333,5.97101140393608,0.522341303150474,"C3",12,"glucose",1
"28",0.0160623608138923,9.75916666666667,8.19977822660578,0.093595057830756,"C4",12,"glucose",1
"29",0.0368198460107251,35.7866666666667,23.5986770006729,0.114705010227666,"C5",12,"glucose",1
"30",0.0362726062236216,42.2930555555556,27.9774231431406,0.102929737683948,"C6",12,"glucose",1
"31",0.0360742781292424,35.2858333333333,22.9889639220201,0.114258135958655,"C7",12,"glucose",1
"32",0.0796342843260965,18.5175,13.1612826609604,0.366751243776759,"C8",12,"glucose",1
