"","ID","rmax","topt","a","rssq","well","carbon","temp_origin","fermenter"
"1","A10_fructose_22_Fermenter",0.226721439006683,27.5979895452679,10.9968859591909,0.0231673526589384,"A10","fructose","22","Fermenter"
"2","A10_galactose_22_Fermenter",0.238191710186207,27.3244371979319,11.0532265698814,0.024060154102099,"A10","galactose","22","Fermenter"
"3","A10_glucose_22_Fermenter",0.248913492558452,25.0343314505393,10.3388901361144,0.0073110600924619,"A10","glucose","22","Fermenter"
"4","A10_ribose_22_Fermenter",0.226900930610886,37,19.3498000896261,0.00544515215346819,"A10","ribose","22","Fermenter"
"5","A11_fructose_22_Fermenter",0.192559465388484,27.7877409082234,15.8019466053247,0.0013249555607387,"A11","fructose","22","Fermenter"
"6","A11_galactose_22_Fermenter",0.229509924839764,24.0335636922052,9.91691603880482,0.00288934459362732,"A11","galactose","22","Fermenter"
"7","A11_glucose_22_Fermenter",0.221361739347353,25.0277108504988,11.0136111235288,0.00901474947691219,"A11","glucose","22","Fermenter"
"8","A11_ribose_22_Fermenter",0.165703184893072,24.4245873328022,11.7606225953765,0.00176156001767065,"A11","ribose","22","Fermenter"
"9","A2_fructose_12.5_Fermenter",0.205008486978024,21.9011907280893,8.89150024094039,0.00588499325770458,"A2","fructose","12.5","Fermenter"
"10","A2_galactose_12.5_Fermenter",0.202462411518449,22.1401087013317,8.65616837850749,0.00549174005229421,"A2","galactose","12.5","Fermenter"
"11","A2_glucose_12.5_Fermenter",0.233039531725458,22.7608078507542,8.20738381472463,0.00639170412570151,"A2","glucose","12.5","Fermenter"
"12","A2_ribose_12.5_Fermenter",0.154117612824754,23.6819269806705,9.63003895460831,0.00783980955205946,"A2","ribose","12.5","Fermenter"
"13","A3_fructose_12.5_Fermenter",0.231667790926383,22.6160212416803,8.43976723576909,0.00731826579781261,"A3","fructose","12.5","Fermenter"
"14","A3_galactose_12.5_Fermenter",0.164099636531479,22.7272595155687,12.8086671345306,0.0139749812798865,"A3","galactose","12.5","Fermenter"
"15","A3_glucose_12.5_Fermenter",0.212347225902025,24.806168771935,10.1135014558803,0.00410665205279533,"A3","glucose","12.5","Fermenter"
"16","A3_ribose_12.5_Fermenter",0.879877131156105,26.4163755918228,2.18609336722779,0.00869899974985039,"A3","ribose","12.5","Fermenter"
"17","A4_fructose_42_Fermenter",0.316790531157082,42,17.7802813572722,0.00837592441459983,"A4","fructose","42","Fermenter"
"18","A4_galactose_42_Fermenter",0.271398105453798,42,21.132301729085,0.00274842562510332,"A4","galactose","42","Fermenter"
"19","A4_glucose_42_Fermenter",0.267479944592068,35.3492174365676,13.1587689169477,0.00802484550953933,"A4","glucose","42","Fermenter"
"20","A4_ribose_42_Fermenter",0.187389159786576,37,17.180790713985,0.00176353354102577,"A4","ribose","42","Fermenter"
"21","A5_fructose_42_Fermenter",0.282103010149788,42,18.7532335097799,0.00385428884446308,"A5","fructose","42","Fermenter"
"22","A5_galactose_42_Fermenter",0.242744950253351,42,23.458801655921,0.00292280409487146,"A5","galactose","42","Fermenter"
"23","A5_glucose_42_Fermenter",0.297711779804057,42,20.795620155541,0.00440170050209414,"A5","glucose","42","Fermenter"
"24","A5_ribose_42_Fermenter",0.197326821817735,37,14.1964630570352,0.000416130016314881,"A5","ribose","42","Fermenter"
"25","A6_fructose_37.7_Fermenter",0.356335256909706,42,17.2750486283573,0.000295994109433077,"A6","fructose","37.7","Fermenter"
"26","A6_galactose_37.7_Fermenter",0.263110492943591,32.4774456152936,13.5539458234217,0.000288750219530588,"A6","galactose","37.7","Fermenter"
"27","A6_glucose_37.7_Fermenter",0.335798233035036,39.18855542762,18.230505201083,0.00154614647091204,"A6","glucose","37.7","Fermenter"
"28","A6_ribose_37.7_Fermenter",0.304467171582883,37,10.4805514042566,0.00481735011082701,"A6","ribose","37.7","Fermenter"
"29","A7_fructose_37.7_Fermenter",0.2649511946413,38.3601440691412,18.0411758273621,0.00342281736320314,"A7","fructose","37.7","Fermenter"
"30","A7_galactose_37.7_Fermenter",0.244940523140684,36.0211836263945,17.8919220092049,0.00253846265695637,"A7","galactose","37.7","Fermenter"
"31","A7_glucose_37.7_Fermenter",0.274825508040959,35.9169910393092,18.951578604332,0.0181232347521216,"A7","glucose","37.7","Fermenter"
"32","A7_ribose_37.7_Fermenter",0.212833762519241,37,14.1296436146547,0.000617782206739685,"A7","ribose","37.7","Fermenter"
"33","A8_fructose_30_Fermenter",0.259931966329349,42,19.5126996878112,0.00460544687462796,"A8","fructose","30","Fermenter"
"34","A8_galactose_30_Fermenter",0.243159856397236,28.3031463606215,10.2964434741737,0.0171836927282437,"A8","galactose","30","Fermenter"
"35","A8_glucose_30_Fermenter",0.226188262656688,27.8803714012796,9.52375478212728,0.00900940657336684,"A8","glucose","30","Fermenter"
"36","A8_ribose_30_Fermenter",0.213118216984153,37,14.8185357937262,0.000997233590191451,"A8","ribose","30","Fermenter"
"37","A9_fructose_30_Fermenter",0.240676178018555,42,27.4372186912086,0.011661241144594,"A9","fructose","30","Fermenter"
"38","A9_galactose_30_Fermenter",0.230292873916177,24.2846689389086,10.6526712965862,0.0056159408405126,"A9","galactose","30","Fermenter"
"39","A9_glucose_30_Fermenter",0.284621638953024,28.5181504970375,10.2351261676913,0.025848302776583,"A9","glucose","30","Fermenter"
"40","A9_ribose_30_Fermenter",0.160483995233129,28.793023544113,14.4069806781811,0.00263600795031317,"A9","ribose","30","Fermenter"
"41","B10_fructose_22_Fermenter",0.194281406800032,28.497848369948,19.2466436957415,0.00977153120019443,"B10","fructose","22","Fermenter"
