"","well","tmp","carbon_source","carbon","temperature","Fermenter","mean_r","mean_lag"
"64","A3",22,"fructose","Gal",12.5,"Fermenter",0.198958550048823,0.169377441527777
"65","A3",22,"ribose","Gal",12.5,"Fermenter",0.114337057913337,2.71878038463291
"66","A3",30,"glucose","Gal",12.5,"Fermenter",0.198952085910143,3.47282609673435
"67","A3",30,"galactose","Gal",12.5,"Fermenter",0.166587303001109,4.6558552696308
"68","A3",30,"fructose","Gal",12.5,"Fermenter",0.211898211222149,1.33516945881087
"69","A3",30,"ribose","Gal",12.5,"Fermenter",0.229558721477721,6.48234565230718
"70","A3",37,"glucose","Gal",12.5,"Fermenter",0.131715253216199,-0.825765363791481
"71","A3",37,"galactose","Gal",12.5,"Fermenter",0.000586551149384969,1.36239200282999
"72","A3",37,"fructose","Gal",12.5,"Fermenter",0.00161391654245582,-0.325744129141411
"73","A3",37,"ribose","Gal",12.5,"Fermenter",-2.78758091203906e-22,-261631.621276592
"74","A3",42,"glucose","Gal",12.5,"Fermenter",0.00134392937111926,8.39255186472406
"75","A3",42,"galactose","Gal",12.5,"Fermenter",0.12714585263749,7.6224061948269
"76","A3",42,"fructose","Gal",12.5,"Fermenter",0.000794852451723522,-0.352448463461074
"77","A4",12,"glucose","Glu",42,"Fermenter",0.0541045547331456,29.7065285568627
"78","A4",12,"galactose","Glu",42,"Fermenter",0.0831129221586929,15.8507541277693
"79","A4",12,"fructose","Glu",42,"Fermenter",0.0778747807274723,21.250507042023
"80","A4",12,"ribose","Glu",42,"Fermenter",0.0807630448036124,42.4528104328218
"81","A4",22,"glucose","Glu",42,"Fermenter",0.183727831349305,5.12503320405417
"82","A4",22,"galactose","Glu",42,"Fermenter",0.199922576905978,2.46482743547311
"83","A4",22,"fructose","Glu",42,"Fermenter",0.175980327463018,1.63049849009785
"84","A4",22,"ribose","Glu",42,"Fermenter",0.0986385205827631,14277.5787342416
"85","A4",30,"glucose","Glu",42,"Fermenter",0.193609182797712,4.63322880959108
"86","A4",30,"galactose","Glu",42,"Fermenter",0.225049838071101,1.85254844218898
"87","A4",30,"fructose","Glu",42,"Fermenter",0.24899671192448,0.107797168926788
