"","r","t.r","lag","maxOD.fit","col","row","tmp"
"1",0.711874672875755,5.29655172384,4.07274430300464,0.447352957478678,11,1,23
"2",0.436480921875391,11.91724137864,10.2991942214311,0.0867043626257233,12,2,23
"3",0.341598805429229,20.02758620577,18.062258390288,0.11560925262318,7,2,23
"4",0.380169525851482,7.94482758576,5.42296771250111,0.226143009107342,3,2,23
"5",0.460588591182565,2.15172413781,0.12550397531196,0.362834713019648,2,2,23
"6",0.44695030798294,8.60689655124,6.52779463037406,0.220105298043432,3,3,23
"7",0.508804437925844,7.28275862028,5.81735037233893,0.348183907055765,4,3,23
"8",0.447083546483961,2.15172413781,0.801890221613609,0.321331086512018,5,3,23
"9",0.420113165919469,9.9310344822,8.62016714045494,0.064314222932755,8,3,23
"10",0.600374198566241,7.11724137891,5.7428060542129,0.467474698896318,11,3,23
"11",0.340747101371124,7.94482758576,6.19389664890913,0.0857731070694106,12,3,23
"12",0.437715437580689,6.45517241343,4.73299170053444,0.449871654544269,9,4,23
"13",0.30981146730695,9.26896551672,7.71785118448189,0.0679919725694204,8,4,23
"14",0.769208055781036,5.62758620658,4.57019600294615,0.510910952532949,9,1,23
"15",0.800885442329244,5.46206896521,4.36266156534171,0.508056009954751,9,3,23
"16",0.528131077704088,2.15172413781,1.1793317418085,0.30558131971744,5,2,23
"17",0.415285884217551,8.77241379261,6.45350475464425,0.289912637423763,5,1,23
"18",0.563965675360101,2.15172413781,1.12743042045515,0.441004522443487,9,2,23
"19",0.521691348783342,5.29655172384,4.09643503212171,0.423329724221865,11,2,23
"20",0.537063321138773,2.15172413781,1.67495630781299,0.395371622780106,6,2,23
"21",0.392128897618277,10.42758620631,8.4951764051052,0.18353991162752,4,2,23
"22",0.398699034450861,2.15172413781,1.7235645856723,0.449228225705135,1,2,23
"23",0.402718118548246,10.09655172357,8.72612444368624,0.0648227855792605,8,2,23
"24",0.420530013226312,2.15172413781,1.72731016650613,0.378288711441443,2,3,23
"25",0.532663178369977,2.15172413781,1.75278874014198,0.402708019715264,6,3,23
"26",0.521354505215029,8.60689655124,7.00313452721804,0.234592312546469,10,2,23
"27",0.413235734868371,6.28965517206,4.36958067614302,0.440777151648756,6,4,23
"28",0.305714762400637,14.06896551645,11.3156957256748,0.322764339473129,5,4,23
"29",0.54197165550175,7.77931034439,6.46520492830352,0.20111852142849,3,4,23
"30",0.279413280713864,2.64827586192,2.83798308198098,0.449013070270261,1,3,23
"31",0.626527339500416,8.77241379261,7.56979161589625,0.270831890027208,10,3,23
"32",0.389040803881621,7.61379310302,4.94463143950254,0.316798230562793,4,4,23
"33",0.662770447941351,4.46896551699,4.44840816582401,0.401071878093618,6,1,23
"34",0.622041283997872,4.46896551699,4.3609400151348,0.393905854941995,2,4,23
"35",0.648858723626789,4.63448275836,4.51117432485346,0.362884387801012,2,1,23
"36",0.400873296723973,7.61379310302,6.30831928637228,0.198410336070128,4,1,23
"37",0.70570543431365,4.79999999973,4.66775771543321,0.467386918587556,11,4,23
"38",0.707613673171939,4.9655172411,4.83207118035249,0.44938470678737,1,1,23
"39",0.686768711892757,4.9655172411,4.86080657569495,0.471964026311492,1,4,23
"40",0.796171236922263,8.44137930987,7.64751093462609,0.245909152604727,10,1,23
"41",0.797754467103758,8.60689655124,7.78866487257384,0.276530297631644,10,4,23
"42",0.889680501588192,6.28965517206,6.11576723391462,0.204104129866694,3,1,23
"43",0.882753540702677,6.6206896548,6.3454524590804,0.061682496692032,12,4,23
"44",0.748928143428303,8.60689655124,8.48776842278182,0.0702050150064298,8,1,23
"45",0.865207514107554,13.07586206823,12.3539912050718,0.062083416000454,12,1,23
"46",0.370769163083535,20.02758620577,17.7992172795851,0.149376718078145,7,3,23
"47",0.505001599382833,21.18620689536,19.529822630629,0.119951892179459,7,1,23
"48",0.415219509136154,15.22758620604,15.215869925796,0.0451010633568691,7,4,23
"49",0.319786581996796,9.9310344822,7.5744619821769,0.33922205967313,2,1,28
"50",0.33086044430281,6.6206896548,4.63747352897666,0.397814705088834,6,1,28
"51",0.36554809766454,18.53793103344,16.3500710929899,0.121101074148612,7,1,28
"52",0.317395761674208,8.11034482713,6.13120734357328,0.0757013634419466,8,1,28
"53",0.575102626546229,4.9655172411,3.86919220300173,0.287655341409468,10,1,28
"54",0.600661706060562,3.64137931014,2.54362332960323,0.474001033816672,11,1,28
"55",0.598035672383347,3.80689655151,2.49493901943196,0.455574333185316,11,2,28
"56",0.703311100284436,5.29655172384,4.40578151695101,0.267298983190427,10,2,28
"57",0.322078739862627,7.77931034439,5.67521664362982,0.076378056979938,8,2,28
"58",0.321349941774813,9.26896551672,6.84828451183401,0.355963695070397,2,2,28
"59",0.486131918730406,5.95862068932,4.52578562429603,0.275328523705996,3,3,28
"60",0.311487968821237,6.95172413754,5.05314827526297,0.0636145172353011,8,3,28
"61",0.757975103143201,4.30344827562,3.25994889985258,0.46606045178659,11,3,28
"62",0.277828688536016,4.63448275836,3.06310207954997,0.0883743691435397,12,3,28
"63",0.261095117130256,5.13103448247,3.19117247824355,0.0916602777028581,12,4,28
"64",0.665698026727294,3.80689655151,2.63359914764188,0.446884321628577,11,4,28
"65",0.665743792628359,5.62758620658,4.56786993859611,0.273823300686533,10,4,28
"66",0.677142332222596,4.13793103425,3.14160146509715,0.376214889356141,9,4,28
"67",0.353841640802105,4.9655172411,3.61212311870304,0.0589580150320496,8,4,28
"68",0.407769806748145,5.13103448247,3.39657432019088,0.394200341717808,6,4,28
"69",0.729616789102357,4.30344827562,3.28682401051686,0.419743865312265,9,2,28
"70",0.474397877321911,2.15172413781,0.52414017639211,0.380376213701457,5,3,28
