"","fit","se.fit","t","deriv.fit","deriv.sd","OD.frac","lOD","col","row","tmp"
"1",-4.25835933341531,0.0369007218354863,0.16551724137,-0.0595862894825011,0.0212812343074854,0.0429230511693746,-4.06400936242603,11,1,23
"2",-4.26816433173049,0.0342046306648486,0.33103448274,-0.0585429523442779,0.021233201849834,0.0397442471286584,-4.30580660876247,11,1,23
"3",-4.27762397036462,0.0316784106436965,0.49655172411,-0.055413067235642,0.0210892056109408,0.036605882964269,-4.35831010805657,11,1,23
"4",-4.28639288963663,0.0293667817408036,0.66206896548,-0.0501966339921257,0.020849538165241,0.0335483985525333,-4.36144000106549,11,1,23
"5",-4.29412572986547,0.0273172010748524,0.82758620685,-0.0428936527414902,0.020514709896804,0.0306122337697786,-4.27874828522038,11,1,23
"6",-4.30047713137008,0.0255769356392219,0.99310344822,-0.033504123476424,0.0200854862158189,0.0278378284923315,-4.1818651597516,11,1,23
"7",-4.30510173446941,0.0241878204063716,1.15862068959,-0.0220280459612586,0.0195629464169394,0.0252656225965189,-4.14332474444382,11,1,23
"8",-4.30765417948239,0.0231788711225466,1.32413793096,-0.00846542050128979,0.018948572592718,0.0229360559586676,-4.18383172872364,11,1,23
"9",-4.30778910672796,0.02255842375901,1.48965517233,0.00718375312188455,0.0182443823677626,0.0208895684551046,-4.31999124375443,11,1,23
"10",-4.30516115652508,0.0223089048321024,1.6551724137,0.024919474821835,0.0174531278349423,0.0191665999621568,-4.5912672808191,11,1,23
"11",-4.05094426499829,0.0269456162038323,3.3103448274,0.31703683526826,0.00768692669768373,0.0286272334084363,-4.5698030421508,11,1,23
"12",-3.99513092391255,0.0269147426792065,3.47586206877,0.357724585773,0.00759994031186801,0.0331320058698316,-4.29108963968178,11,1,23
"13",-3.93241038920567,0.0266635697419192,3.64137931014,0.400498884272815,0.00806390870983524,0.0384455758577652,-4.12645461614033,11,1,23
"14",-3.86243730119657,0.0261830872350462,3.80689655151,0.44535973090314,0.009065939209987,0.0446083832485637,-3.92156841827168,11,1,23
"15",-3.78486630020421,0.0254738567454341,3.97241379288,0.492307125615031,0.0105174239999571,0.0516608679185542,-3.74059388980062,11,1,23
"16",-3.69935202654753,0.0245495353141808,4.13793103425,0.541341068303941,0.0123177966970663,0.0596434697440634,-3.59429681162799,11,1,23
"17",-3.605809360203,0.0234512576866707,4.30344827562,0.587744430342632,0.0141509947259321,0.0685773584405708,-3.47312312123374,11,1,23
"18",-3.50519413977725,0.0222741601094345,4.46896551699,0.626800652872571,0.0157024037837742,0.078406623080167,-3.3245141568912,11,1,23
"19",-3.39872244353442,0.0211330774744788,4.63448275836,0.658509735923259,0.0169234821271915,0.0890560825740946,-3.23703979549587,11,1,23
"20",-3.28761034973868,0.0201470259864119,4.79999999973,0.682871679430389,0.0177912113052701,0.100450555833597,-3.15801593661144,11,1,23
"21",-3.17307393665417,0.0194268403023109,4.9655172411,0.699886483428164,0.0182954428259091,0.112514861769916,-3.04219514796433,11,1,23
"22",-3.05632928254505,0.0190557660007758,5.13103448247,0.709554147947891,0.0184339319126419,0.125173819294295,-2.92732624088993,11,1,23
"23",-2.93859246567547,0.0190686080384256,5.29655172384,0.711874672875755,0.0182107987715203,0.138352247317977,-2.7841755914917,11,1,23
"24",-2.82107956430959,0.0194406212573316,5.46206896521,0.706848058357963,0.0176371208754596,0.151974964752205,-2.69207843159251,11,1,23
"25",-2.70500665671155,0.0200938981784445,5.62758620658,0.694474304331383,0.016733731234382,0.165966790508221,-2.58163783874777,11,1,23
"26",-2.59158982114552,0.0209171973746395,5.79310344795,0.674753410716747,0.0155375157585553,0.18025254349727,-2.49398775852419,11,1,23
"27",-2.48204513587565,0.0217877658951978,5.95862068932,0.64768537768806,0.014114481333222,0.194757042630592,-2.42396207916065,11,1,23
"28",-2.37758867916608,0.0225870408513784,6.12413793069,0.613270205079767,0.012586484637018,0.209405106819432,-2.3604260926839,11,1,23
"29",-2.27943652928098,0.0232091739795592,6.28965517206,0.571507892997332,0.0111819198503118,0.224121554975032,-2.31011335941484,11,1,23
"30",-2.1888047644845,0.0235652420246926,6.45517241343,0.522398441385173,0.0103010832870889,0.238831206008635,-2.25665616110565,11,1,23
"31",-2.10690946304078,0.0235866201871622,6.6206896548,0.465941850263245,0.0104750037546004,0.253458878831484,-2.18125280782652,11,1,23
"32",-2.03461632891402,0.0232484045965562,6.78620689617,0.40848903752762,0.0117807843084073,0.267950757955761,-2.12611394987827,11,1,23
"33",-1.97138956886845,0.02262569354222,6.95172413754,0.356390153598619,0.0135325590336067,0.282338490297402,-2.09882825548003,11,1,23
"34",-1.91634301536837,0.0218324463504666,7.11724137891,0.309645198541828,0.0152724610439783,0.296675088373283,-2.03179488821248,11,1,23
"35",-1.86859050087805,0.0209971798196879,7.28275862028,0.26825417234979,0.0167724721803772,0.311013564700278,-1.96897408865386,11,1,23
"36",-1.82724585786176,0.0202544625927835,7.44827586165,0.232217075008165,0.0179218107603462,0.325406931795265,-1.92072985052501,11,1,23
"37",-1.79142291878379,0.0197300577740313,7.61379310302,0.201533906552671,0.0186658792048693,0.339908202175117,-1.87928006675755,11,1,23
"38",-1.76023551610841,0.0195190971140581,7.77931034439,0.176204666919223,0.0189792064082579,0.354570388356711,-1.84832982071645,11,1,23
"39",-1.73279748229991,0.0196634392693368,7.94482758576,0.156229356181011,0.018854253499084,0.369446502856921,-1.75677850033281,11,1,23
"40",-1.70822264982256,0.0201400065158797,8.11034482713,0.141607974326157,0.0182981255699974,0.384589558192624,-1.77313400510489,11,1,23
